num,initiator_list,days_total,days_per_stage_avg,result_stage,stage_days_1,stage_days_2,stage_days_3,stage_days_4,stage_days_5,stage_days_6,stage_days_7,stage_days_8,stage_workdays_1,stage_workdays_2,stage_workdays_3,stage_workdays_4,stage_workdays_5,stage_workdays_6,stage_workdays_7,stage_workdays_8,stage_break_days_1,stage_break_days_2,stage_break_days_3,stage_break_days_4,stage_break_days_5,stage_break_days_6,stage_break_days_7,stage_break_days_8,stage_break_workdays_1,stage_break_workdays_2,stage_break_workdays_3,stage_break_workdays_4,stage_break_workdays_5,stage_break_workdays_6,stage_break_workdays_7,stage_break_workdays_8,is_federal,is_deputy,is_ex_deputy,is_ex_counsil_member,is_council_member,is_legislature
988759-6,['5c77c6e0fed91f583dd7acdb'],492,62,3.3,1,211,23,0,0,0,0,0,0,149,16,0,0,0,0,0,35,224,0,0,0,0,0,0,23,152,0,0,0,0,0,0,0,1,0,0,0,0
818428-6,"['5c77c6e3fed91f583dd7ae6a', '5c77c6d8fed91f583dd7a8cd', '5c77c6e0fed91f583dd7ac8a']",722,66,3.3,170,469,23,0,0,0,0,0,120,322,16,0,0,0,0,0,-163,224,0,0,0,0,0,0,-115,152,0,0,0,0,0,0,0,2,1,0,0,0
1180507-6,['5c77c6d6fed91f583dd7a798'],260,24,3.3,145,3,221,0,0,0,0,0,99,3,150,0,0,0,0,0,-120,12,0,0,0,0,0,0,-81,8,0,0,0,0,0,0,0,0,1,0,0,0
897539-6,"['5c77c6d6fed91f583dd7a7e3', '5c77c6d5fed91f583dd7a774', '5c77c6d8fed91f583dd7a8eb', '5c77c6d9fed91f583dd7a935', '5c77c6defed91f583dd7abb4', '5c77c6e5fed91f583dd7af31', '5c77c6defed91f583dd7abea', '5c77c6d7fed91f583dd7a857', '5c77c6e0fed91f583dd7ac8a']",609,21,3.3,607,329,25,0,0,0,0,0,416,222,18,0,0,0,0,0,-573,222,0,0,0,0,0,0,-392,150,0,0,0,0,0,0,0,6,3,0,0,0
955557-6,"['5c77c6e3fed91f583dd7ae10', '5c77c6d9fed91f583dd7a95f']",541,55,3.3,293,269,25,0,0,0,0,0,201,189,18,0,0,0,0,0,-267,222,0,0,0,0,0,0,-187,150,0,0,0,0,0,0,0,2,0,0,0,0
1113591-6,['5c77c6e0fed91f583dd7ac8a'],344,35,3.3,283,3,16,0,0,0,0,0,195,3,11,0,0,0,0,0,-174,217,0,0,0,0,0,0,-118,147,0,0,0,0,0,0,0,1,0,0,0,0
864192-6,['5c77c6dbfed91f583dd7aa24'],661,67,3.3,613,7,247,0,0,0,0,0,424,4,168,0,0,0,0,0,-591,387,0,0,0,0,0,0,-409,270,0,0,0,0,0,0,0,1,0,0,0,0
899397-6,['5c77c6ebfed91f583dd7b2a3'],606,61,3.3,173,304,16,0,0,0,0,0,117,209,11,0,0,0,0,0,-116,231,0,0,0,0,0,0,-76,157,0,0,0,0,0,0,0,0,0,0,0,1
893372-6,['5c77c6ebfed91f583dd7b2b4'],613,62,3.3,201,345,16,0,0,0,0,0,137,239,11,0,0,0,0,0,-179,231,0,0,0,0,0,0,-121,157,0,0,0,0,0,0,0,0,0,0,0,1
638479-6,"['5c77c6dbfed91f583dd7aa73', '5c77c6d6fed91f583dd7a787', '5c77c6d6fed91f583dd7a7ca', '5c77c6e0fed91f583dd7accd', '5c77c6e2fed91f583dd7ad7e', '5c77c6d8fed91f583dd7a8a0']",954,87,3.3,951,675,23,0,0,0,0,0,654,467,16,0,0,0,0,0,-918,224,0,0,0,0,0,0,-631,152,0,0,0,0,0,0,0,3,3,0,0,0
1024692-6,"['5c77c6e0fed91f583dd7acdb', '5c77c6d7fed91f583dd7a825', '5c77c6e0fed91f583dd7aca6', '5c77c6defed91f583dd7abd2', '5c77c6e0fed91f583dd7ac8a']",122,21,1.3,123,1,0,0,0,0,0,0,87,0,0,0,0,0,0,0,-103,0,0,0,0,0,0,0,-73,0,0,0,0,0,0,0,0,4,1,0,0,0
